image_path,label
gs://autopony/pony10000/1.jpg,a
gs://autopony/pony10000/2.jpg,a
gs://autopony/pony10000/3.jpg,c
gs://autopony/pony10000/4.jpg,a
gs://autopony/pony10000/5.jpg,a
gs://autopony/pony10000/6.jpg,a
gs://autopony/pony10000/7.jpg,a
gs://autopony/pony10000/8.jpg,b
gs://autopony/pony10000/9.jpg,a
gs://autopony/pony10000/10.jpg,b
gs://autopony/pony10000/11.jpg,c
gs://autopony/pony10000/12.jpg,a
gs://autopony/pony10000/13.jpg,c
gs://autopony/pony10000/14.jpg,a
gs://autopony/pony10000/15.jpg,c
gs://autopony/pony10000/16.jpg,a
gs://autopony/pony10000/17.jpg,c
gs://autopony/pony10000/18.jpg,a
gs://autopony/pony10000/19.jpg,b
gs://autopony/pony10000/20.jpg,b
gs://autopony/pony10000/21.jpg,b
gs://autopony/pony10000/22.jpg,a
gs://autopony/pony10000/23.jpg,b
gs://autopony/pony10000/24.jpg,c
gs://autopony/pony10000/25.jpg,b
gs://autopony/pony10000/26.jpg,a
gs://autopony/pony10000/27.jpg,c
gs://autopony/pony10000/28.jpg,a
gs://autopony/pony10000/29.jpg,c
gs://autopony/pony10000/30.jpg,c
gs://autopony/pony10000/31.jpg,c
gs://autopony/pony10000/32.jpg,b
gs://autopony/pony10000/33.jpg,b
gs://autopony/pony10000/34.jpg,c
gs://autopony/pony10000/35.jpg,a
gs://autopony/pony10000/36.jpg,c
gs://autopony/pony10000/37.jpg,a
gs://autopony/pony10000/38.jpg,c
gs://autopony/pony10000/39.jpg,c
gs://autopony/pony10000/40.jpg,b
gs://autopony/pony10000/41.jpg,c
gs://autopony/pony10000/42.jpg,a
gs://autopony/pony10000/43.jpg,b
gs://autopony/pony10000/44.jpg,c
gs://autopony/pony10000/45.jpg,b
gs://autopony/pony10000/46.jpg,b
gs://autopony/pony10000/47.jpg,b
gs://autopony/pony10000/48.jpg,b
gs://autopony/pony10000/49.jpg,b
gs://autopony/pony10000/50.jpg,a
gs://autopony/pony10000/51.jpg,b
gs://autopony/pony10000/52.jpg,a
gs://autopony/pony10000/53.jpg,c
gs://autopony/pony10000/54.jpg,a
gs://autopony/pony10000/55.jpg,a
gs://autopony/pony10000/56.jpg,c
gs://autopony/pony10000/57.jpg,a
gs://autopony/pony10000/58.jpg,c
gs://autopony/pony10000/59.jpg,b
gs://autopony/pony10000/60.jpg,c
gs://autopony/pony10000/61.jpg,b
gs://autopony/pony10000/62.jpg,b
gs://autopony/pony10000/63.jpg,a
gs://autopony/pony10000/64.jpg,a
gs://autopony/pony10000/65.jpg,b
gs://autopony/pony10000/66.jpg,a
gs://autopony/pony10000/67.jpg,b
gs://autopony/pony10000/68.jpg,c
gs://autopony/pony10000/69.jpg,a
gs://autopony/pony10000/70.jpg,a
gs://autopony/pony10000/71.jpg,a
gs://autopony/pony10000/72.jpg,b
