image_path,label
gs://autopony/pony5000/1.jpg,a
gs://autopony/pony5000/2.jpg,a
gs://autopony/pony5000/3.jpg,c
gs://autopony/pony5000/4.jpg,a
gs://autopony/pony5000/5.jpg,a
gs://autopony/pony5000/6.jpg,a
gs://autopony/pony5000/7.jpg,a
gs://autopony/pony5000/8.jpg,b
gs://autopony/pony5000/9.jpg,a
gs://autopony/pony5000/10.jpg,b
gs://autopony/pony5000/11.jpg,c
gs://autopony/pony5000/12.jpg,a
gs://autopony/pony5000/13.jpg,c
gs://autopony/pony5000/14.jpg,a
gs://autopony/pony5000/15.jpg,c
gs://autopony/pony5000/16.jpg,a
gs://autopony/pony5000/17.jpg,c
gs://autopony/pony5000/18.jpg,a
gs://autopony/pony5000/19.jpg,b
gs://autopony/pony5000/20.jpg,b
gs://autopony/pony5000/21.jpg,b
gs://autopony/pony5000/22.jpg,a
gs://autopony/pony5000/23.jpg,b
gs://autopony/pony5000/24.jpg,c
gs://autopony/pony5000/25.jpg,b
gs://autopony/pony5000/26.jpg,a
gs://autopony/pony5000/27.jpg,c
gs://autopony/pony5000/28.jpg,a
gs://autopony/pony5000/29.jpg,c
gs://autopony/pony5000/30.jpg,c
gs://autopony/pony5000/31.jpg,c
gs://autopony/pony5000/32.jpg,b
gs://autopony/pony5000/33.jpg,b
gs://autopony/pony5000/34.jpg,c
gs://autopony/pony5000/35.jpg,a
gs://autopony/pony5000/36.jpg,c
gs://autopony/pony5000/37.jpg,a
gs://autopony/pony5000/38.jpg,c
gs://autopony/pony5000/39.jpg,c
gs://autopony/pony5000/40.jpg,b
gs://autopony/pony5000/41.jpg,c
gs://autopony/pony5000/42.jpg,a
gs://autopony/pony5000/43.jpg,b
gs://autopony/pony5000/44.jpg,c
gs://autopony/pony5000/45.jpg,b
gs://autopony/pony5000/46.jpg,b
gs://autopony/pony5000/47.jpg,b
gs://autopony/pony5000/48.jpg,b
gs://autopony/pony5000/49.jpg,b
gs://autopony/pony5000/50.jpg,a
gs://autopony/pony5000/51.jpg,b
gs://autopony/pony5000/52.jpg,a
gs://autopony/pony5000/53.jpg,c
gs://autopony/pony5000/54.jpg,a
gs://autopony/pony5000/55.jpg,a
gs://autopony/pony5000/56.jpg,c
gs://autopony/pony5000/57.jpg,a
gs://autopony/pony5000/58.jpg,c
gs://autopony/pony5000/59.jpg,b
gs://autopony/pony5000/60.jpg,c
gs://autopony/pony5000/61.jpg,b
gs://autopony/pony5000/62.jpg,b
gs://autopony/pony5000/63.jpg,a
gs://autopony/pony5000/64.jpg,a
gs://autopony/pony5000/65.jpg,b
gs://autopony/pony5000/66.jpg,a
gs://autopony/pony5000/67.jpg,b
gs://autopony/pony5000/68.jpg,c
